parent_tree,parent_text,parent_type,left_tree,left_text,left_type,right_tree,right_text,right_type,cc_tree,cc_text,same_type,clausal_coord,corrective
"(S
  (S
    (NP (PRP i))
    (VP
      (MD can)
      (VP
        (VB see)
        (ADVP (RB now))
        (SBAR
          (IN that)
          (S (ADVP (RB possibly)) (NP (PRP she)) (VP (VBD was)))))))
  (CC but)
  (S
    (ADVP (RB then))
    (NP (NP (DT all)) (SBAR (S (NP (PRP i)) (VP (VBD saw)))))
    (VP
      (VBD was)
      (NP
        (NP (PRP$ her) (NN irritability))
        (PP
          (IN at)
          (S
            (VP
              (VBG having)
              (S
                (VP
                  (TO to)
                  (VP
                    (VB carry)
                    (PRT (RP out))
                    (NP
                      (ADJP (RB so) (JJ unpleasant))
                      (DT a)
                      (NN task))))))))))))",i can see now that possibly she was but then all i saw was her irritability at having to carry out so unpleasant a task,S,"(S
  (NP (PRP i))
  (VP
    (MD can)
    (VP
      (VB see)
      (ADVP (RB now))
      (SBAR
        (IN that)
        (S (ADVP (RB possibly)) (NP (PRP she)) (VP (VBD was)))))))",i can see now that possibly she was,S,"(S
  (ADVP (RB then))
  (NP (NP (DT all)) (SBAR (S (NP (PRP i)) (VP (VBD saw)))))
  (VP
    (VBD was)
    (NP
      (NP (PRP$ her) (NN irritability))
      (PP
        (IN at)
        (S
          (VP
            (VBG having)
            (S
              (VP
                (TO to)
                (VP
                  (VB carry)
                  (PRT (RP out))
                  (NP
                    (ADJP (RB so) (JJ unpleasant))
                    (DT a)
                    (NN task)))))))))))",then all i saw was her irritability at having to carry out so unpleasant a task,S,(CC but),but,True,True,False
"(VP
  (VP (VBD came) (ADVP (RB right) (RB out)))
  (CC and)
  (VP
    (VBD asked)
    (NP (PRP me))
    (S
      (VP
        (TO to)
        (VP
          (VB feel)
          (ADJP (JJ sorry) (PP (IN for) (NP (PRP them)))))))))",came right out and asked me to feel sorry for them,VP,(VP (VBD came) (ADVP (RB right) (RB out))),came right out,VP,"(VP
  (VBD asked)
  (NP (PRP me))
  (S
    (VP
      (TO to)
      (VP (VB feel) (ADJP (JJ sorry) (PP (IN for) (NP (PRP them))))))))",asked me to feel sorry for them,VP,(CC and),and,True,False,False
"(S
  (S
    (NP (PRP$ our) (NN color))
    (VP
      (VBD had)
      (VP (VBN brought) (NP (DT this) (NN man)) (NP (NN anguish)))))
  (CC and)
  (S
    (SBAR
      (IN if)
      (S
        (NP
          (NP (DT a) (NN part))
          (PP (IN of) (NP (DT that) (NN anguish))))
        (VP (VBD was) (NP (NN guilt)))))
    (NP (PRP it))
    (VP
      (VBD was)
      (RB not)
      (ADJP
        (RB as)
        (JJ immediate)
        (PP (IN to) (NP (PRP me)))
        (PP (IN as) (NP (PRP$ my) (JJ own) (NN guilt)))))))",our color had brought this man anguish and if a part of that anguish was guilt it was not as immediate to me as my own guilt,S,"(S
  (NP (PRP$ our) (NN color))
  (VP
    (VBD had)
    (VP (VBN brought) (NP (DT this) (NN man)) (NP (NN anguish)))))",our color had brought this man anguish,S,"(S
  (SBAR
    (IN if)
    (S
      (NP
        (NP (DT a) (NN part))
        (PP (IN of) (NP (DT that) (NN anguish))))
      (VP (VBD was) (NP (NN guilt)))))
  (NP (PRP it))
  (VP
    (VBD was)
    (RB not)
    (ADJP
      (RB as)
      (JJ immediate)
      (PP (IN to) (NP (PRP me)))
      (PP (IN as) (NP (PRP$ my) (JJ own) (NN guilt))))))",if a part of that anguish was guilt it was not as immediate to me as my own guilt,S,(CC and),and,True,True,False
"(VP
  (VP
    (VBD smiled)
    (PP (IN at) (NP (DT the) (NN man)))
    (S
      (VP
        (TO to)
        (VP
          (VB let)
          (S
            (NP (PRP him))
            (VP
              (VB know)
              (SBAR
                (S
                  (NP (PRP he))
                  (VP
                    (MD should)
                    (RB n't)
                    (VP (VB feel) (ADJP (JJ bad))))))))))))
  (CC and)
  (ADVP (RB then))
  (VP
    (VBD began)
    (NP (NP (PRP$ my) (JJ long) (NN walk)) (ADVP (RB home)))))",smiled at the man to let him know he should n't feel bad and then began my long walk home,VP,"(VP
  (VBD smiled)
  (PP (IN at) (NP (DT the) (NN man)))
  (S
    (VP
      (TO to)
      (VP
        (VB let)
        (S
          (NP (PRP him))
          (VP
            (VB know)
            (SBAR
              (S
                (NP (PRP he))
                (VP
                  (MD should)
                  (RB n't)
                  (VP (VB feel) (ADJP (JJ bad))))))))))))",smiled at the man to let him know he should n't feel bad,VP,(ADVP (RB then)),then,ADVP,(CC and),and,False,False,False
"(S
  (S
    (ADVP (RB certainly))
    (NP (PRP i))
    (ADVP (RB also))
    (VP (VBP judge) (NP (PRP him)) (S (NP (DT a) (NN coward)))))
  (CC but)
  (S
    (PP (IN in) (NP (DT that) (NN era)))
    (NP (PRP$ his) (NN cowardice))
    (VP
      (VBD was)
      (NP
        (NP (NN something))
        (SBAR
          (S
            (NP (PRP i))
            (VP (VBD had) (S (VP (TO to) (VP (VB absorb)))))))))))",certainly i also judge him a coward but in that era his cowardice was something i had to absorb,S,"(S
  (ADVP (RB certainly))
  (NP (PRP i))
  (ADVP (RB also))
  (VP (VBP judge) (NP (PRP him)) (S (NP (DT a) (NN coward)))))",certainly i also judge him a coward,S,"(S
  (PP (IN in) (NP (DT that) (NN era)))
  (NP (PRP$ his) (NN cowardice))
  (VP
    (VBD was)
    (NP
      (NP (NN something))
      (SBAR
        (S
          (NP (PRP i))
          (VP (VBD had) (S (VP (TO to) (VP (VB absorb))))))))))",in that era his cowardice was something i had to absorb,S,(CC but),but,True,True,False
(NP (DT the) (NNS fifties) (CC and) (NNS sixties)),the fifties and sixties,NP,(NNS fifties),fifties,NNS,(NNS sixties),sixties,NNS,(CC and),and,True,False,False
"(S
  (S
    (NP (NN denial))
    (VP
      (VBZ is)
      (NP
        (NP (DT a) (JJ common) (NN way))
        (PP (IN of) (S (VP (VBG handling) (NP (NN guilt))))))))
  (CC but)
  (S
    (PP (IN in) (NP (DT the) (CD 1960s)))
    (NP (EX there))
    (VP
      (VBD was)
      (NP
        (NP (NP (JJ little) (NN will)) (VP (VBN left)))
        (PP (IN for) (NP (NN denial))))
      (PP
        (IN except)
        (PP
          (IN in)
          (NP
            (DT the)
            (ADJP (RBS most) (JJ recalcitrant))
            (NNS whites)))))))",denial is a common way of handling guilt but in the 1960s there was little will left for denial except in the most recalcitrant whites,S,"(S
  (NP (NN denial))
  (VP
    (VBZ is)
    (NP
      (NP (DT a) (JJ common) (NN way))
      (PP (IN of) (S (VP (VBG handling) (NP (NN guilt))))))))",denial is a common way of handling guilt,S,"(S
  (PP (IN in) (NP (DT the) (CD 1960s)))
  (NP (EX there))
  (VP
    (VBD was)
    (NP
      (NP (NP (JJ little) (NN will)) (VP (VBN left)))
      (PP (IN for) (NP (NN denial))))
    (PP
      (IN except)
      (PP
        (IN in)
        (NP
          (DT the)
          (ADJP (RBS most) (JJ recalcitrant))
          (NNS whites))))))",in the 1960s there was little will left for denial except in the most recalcitrant whites,S,(CC but),but,True,True,False
"(NP
  (NP (NN redemption))
  (CC or)
  (NP
    (NP (ADVP (RB at) (RBS least)) (DT the) (NN look))
    (PP (IN of) (NP (NN redemption)))))",redemption or at least the look of redemption,NP,(NP (NN redemption)),redemption,NP,"(NP
  (NP (ADVP (RB at) (RBS least)) (DT the) (NN look))
  (PP (IN of) (NP (NN redemption))))",at least the look of redemption,NP,(CC or),or,True,False,False
"(VP
  (VP
    (VBD went)
    (PP
      (IN after)
      (NP
        (NP (NN redemption))
        (CC or)
        (NP
          (NP (ADVP (RB at) (RBS least)) (DT the) (NN look))
          (PP (IN of) (NP (NN redemption)))))))
  (CC and)
  (VP
    (VBD did)
    (ADVP (RB so))
    (PP (IN with) (NP (DT a) (NN vengeance)))))",went after redemption or at least the look of redemption and did so with a vengeance,VP,"(VP
  (VBD went)
  (PP
    (IN after)
    (NP
      (NP (NN redemption))
      (CC or)
      (NP
        (NP (ADVP (RB at) (RBS least)) (DT the) (NN look))
        (PP (IN of) (NP (NN redemption)))))))",went after redemption or at least the look of redemption,VP,"(VP
  (VBD did)
  (ADVP (RB so))
  (PP (IN with) (NP (DT a) (NN vengeance))))",did so with a vengeance,VP,(CC and),and,True,False,False
(NP (NN housing) (CC and) (NN education)),housing and education,NP,(NN housing),housing,NN,(NN education),education,NN,(CC and),and,True,False,False
