parent_tree,parent_text,parent_type,left_tree,left_text,left_type,right_tree,right_text,right_type,cc_tree,cc_text,base_text,parent_funnel,left_funnel,right_funnel,same_type,same_funnel,clausal_coord,corrective,left_sent,base_sent,right_sent
"(S
  (S
    (NP (PRP i))
    (VP
      (MD can)
      (VP
        (VB see)
        (ADVP (RB now))
        (SBAR
          (IN that)
          (S (ADVP (RB possibly)) (NP (PRP she)) (VP (VBD was)))))))
  (CC but)
  (S
    (ADVP (RB then))
    (NP (NP (DT all)) (SBAR (S (NP (PRP i)) (VP (VBD saw)))))
    (VP
      (VBD was)
      (NP
        (NP (PRP$ her) (NN irritability))
        (PP
          (IN at)
          (S
            (VP
              (VBG having)
              (S
                (VP
                  (TO to)
                  (VP
                    (VB carry)
                    (PRT (RP out))
                    (NP
                      (ADJP (RB so) (JJ unpleasant))
                      (DT a)
                      (NN task))))))))))))",i can see now that possibly she was but then all i saw was her irritability at having to carry out so unpleasant a task,S,"(S
  (NP (PRP i))
  (VP
    (MD can)
    (VP
      (VB see)
      (ADVP (RB now))
      (SBAR
        (IN that)
        (S (ADVP (RB possibly)) (NP (PRP she)) (VP (VBD was)))))))",i can see now that possibly she was,S,"(S
  (ADVP (RB then))
  (NP (NP (DT all)) (SBAR (S (NP (PRP i)) (VP (VBD saw)))))
  (VP
    (VBD was)
    (NP
      (NP (PRP$ her) (NN irritability))
      (PP
        (IN at)
        (S
          (VP
            (VBG having)
            (S
              (VP
                (TO to)
                (VP
                  (VB carry)
                  (PRT (RP out))
                  (NP
                    (ADJP (RB so) (JJ unpleasant))
                    (DT a)
                    (NN task)))))))))))",then all i saw was her irritability at having to carry out so unpleasant a task,S,(CC but),but,i can see now that possibly she was but then all i saw was her irritability at having to carry out so unpleasant a task,S,S,S,True,True,True,False,0.8247523903846741,-0.999281108379364,-0.9993377327919006
"(VP
  (VP (VBD came) (ADVP (RB right) (RB out)))
  (CC and)
  (VP
    (VBD asked)
    (NP (PRP me))
    (S
      (VP
        (TO to)
        (VP
          (VB feel)
          (ADJP (JJ sorry) (PP (IN for) (NP (PRP them)))))))))",came right out and asked me to feel sorry for them,VP,(VP (VBD came) (ADVP (RB right) (RB out))),came right out,VP,"(VP
  (VBD asked)
  (NP (PRP me))
  (S
    (VP
      (TO to)
      (VP (VB feel) (ADJP (JJ sorry) (PP (IN for) (NP (PRP them))))))))",asked me to feel sorry for them,VP,(CC and),and,occasionally they came right out and asked me to feel sorry for them,X,X,X,True,True,False,False,-0.692925751209259,-0.9980043768882751,-0.9990345239639282
"(S
  (S
    (NP (PRP$ our) (NN color))
    (VP
      (VBD had)
      (VP (VBN brought) (NP (DT this) (NN man)) (NP (NN anguish)))))
  (CC and)
  (S
    (SBAR
      (IN if)
      (S
        (NP
          (NP (DT a) (NN part))
          (PP (IN of) (NP (DT that) (NN anguish))))
        (VP (VBD was) (NP (NN guilt)))))
    (NP (PRP it))
    (VP
      (VBD was)
      (RB not)
      (ADJP
        (RB as)
        (JJ immediate)
        (PP (IN to) (NP (PRP me)))
        (PP (IN as) (NP (PRP$ my) (JJ own) (NN guilt)))))))",our color had brought this man anguish and if a part of that anguish was guilt it was not as immediate to me as my own guilt,S,"(S
  (NP (PRP$ our) (NN color))
  (VP
    (VBD had)
    (VP (VBN brought) (NP (DT this) (NN man)) (NP (NN anguish)))))",our color had brought this man anguish,S,"(S
  (SBAR
    (IN if)
    (S
      (NP
        (NP (DT a) (NN part))
        (PP (IN of) (NP (DT that) (NN anguish))))
      (VP (VBD was) (NP (NN guilt)))))
  (NP (PRP it))
  (VP
    (VBD was)
    (RB not)
    (ADJP
      (RB as)
      (JJ immediate)
      (PP (IN to) (NP (PRP me)))
      (PP (IN as) (NP (PRP$ my) (JJ own) (NN guilt))))))",if a part of that anguish was guilt it was not as immediate to me as my own guilt,S,(CC and),and,our color had brought this man anguish and if a part of that anguish was guilt it was not as immediate to me as my own guilt,S,S,S,True,True,True,False,-0.9997566342353821,-0.9913800358772278,-0.9884799122810364
"(VP
  (VP
    (VBD smiled)
    (PP (IN at) (NP (DT the) (NN man)))
    (S
      (VP
        (TO to)
        (VP
          (VB let)
          (S
            (NP (PRP him))
            (VP
              (VB know)
              (SBAR
                (S
                  (NP (PRP he))
                  (VP
                    (MD should)
                    (RB n't)
                    (VP (VB feel) (ADJP (JJ bad))))))))))))
  (CC and)
  (ADVP (RB then))
  (VP
    (VBD began)
    (NP (NP (PRP$ my) (JJ long) (NN walk)) (ADVP (RB home)))))",smiled at the man to let him know he should n't feel bad and then began my long walk home,VP,"(VP
  (VBD smiled)
  (PP (IN at) (NP (DT the) (NN man)))
  (S
    (VP
      (TO to)
      (VP
        (VB let)
        (S
          (NP (PRP him))
          (VP
            (VB know)
            (SBAR
              (S
                (NP (PRP he))
                (VP
                  (MD should)
                  (RB n't)
                  (VP (VB feel) (ADJP (JJ bad))))))))))))",smiled at the man to let him know he should n't feel bad,VP,(ADVP (RB then)),then,ADVP,(CC and),and,i smiled at the man to let him know he should n't feel bad and then began my long walk home,X,X,X,False,True,False,False,0.997470498085022,0.9883955717086792,0.8128639459609985
"(S
  (S
    (ADVP (RB certainly))
    (NP (PRP i))
    (ADVP (RB also))
    (VP (VBP judge) (NP (PRP him)) (S (NP (DT a) (NN coward)))))
  (CC but)
  (S
    (PP (IN in) (NP (DT that) (NN era)))
    (NP (PRP$ his) (NN cowardice))
    (VP
      (VBD was)
      (NP
        (NP (NN something))
        (SBAR
          (S
            (NP (PRP i))
            (VP (VBD had) (S (VP (TO to) (VP (VB absorb)))))))))))",certainly i also judge him a coward but in that era his cowardice was something i had to absorb,S,"(S
  (ADVP (RB certainly))
  (NP (PRP i))
  (ADVP (RB also))
  (VP (VBP judge) (NP (PRP him)) (S (NP (DT a) (NN coward)))))",certainly i also judge him a coward,S,"(S
  (PP (IN in) (NP (DT that) (NN era)))
  (NP (PRP$ his) (NN cowardice))
  (VP
    (VBD was)
    (NP
      (NP (NN something))
      (SBAR
        (S
          (NP (PRP i))
          (VP (VBD had) (S (VP (TO to) (VP (VB absorb))))))))))",in that era his cowardice was something i had to absorb,S,(CC but),but,certainly i also judge him a coward but in that era his cowardice was something i had to absorb,S,S,S,True,True,True,False,-0.999138355255127,-0.9280120134353638,-0.927739679813385
(NP (DT the) (NNS fifties) (CC and) (NNS sixties)),the fifties and sixties,NP,(NNS fifties),fifties,NNS,(NNS sixties),sixties,NNS,(CC and),and,i think what made the difference between the fifties and sixties at least as far as white guilt was concerned was that whites underwent an archetypal fall,X,N,N,True,True,False,False,-0.9860239028930664,-0.6623404622077942,0.7043004035949707
"(S
  (S
    (NP (NN denial))
    (VP
      (VBZ is)
      (NP
        (NP (DT a) (JJ common) (NN way))
        (PP (IN of) (S (VP (VBG handling) (NP (NN guilt))))))))
  (CC but)
  (S
    (PP (IN in) (NP (DT the) (CD 1960s)))
    (NP (EX there))
    (VP
      (VBD was)
      (NP
        (NP (NP (JJ little) (NN will)) (VP (VBN left)))
        (PP (IN for) (NP (NN denial))))
      (PP
        (IN except)
        (PP
          (IN in)
          (NP
            (DT the)
            (ADJP (RBS most) (JJ recalcitrant))
            (NNS whites)))))))",denial is a common way of handling guilt but in the 1960s there was little will left for denial except in the most recalcitrant whites,S,"(S
  (NP (NN denial))
  (VP
    (VBZ is)
    (NP
      (NP (DT a) (JJ common) (NN way))
      (PP (IN of) (S (VP (VBG handling) (NP (NN guilt))))))))",denial is a common way of handling guilt,S,"(S
  (PP (IN in) (NP (DT the) (CD 1960s)))
  (NP (EX there))
  (VP
    (VBD was)
    (NP
      (NP (NP (JJ little) (NN will)) (VP (VBN left)))
      (PP (IN for) (NP (NN denial))))
    (PP
      (IN except)
      (PP
        (IN in)
        (NP
          (DT the)
          (ADJP (RBS most) (JJ recalcitrant))
          (NNS whites))))))",in the 1960s there was little will left for denial except in the most recalcitrant whites,S,(CC but),but,denial is a common way of handling guilt but in the 1960s there was little will left for denial except in the most recalcitrant whites,S,S,S,True,True,True,False,-0.9946223497390747,-0.8863689303398132,0.6577812433242798
"(NP
  (NP (NN redemption))
  (CC or)
  (NP
    (NP (ADVP (RB at) (RBS least)) (DT the) (NN look))
    (PP (IN of) (NP (NN redemption)))))",redemption or at least the look of redemption,NP,(NP (NN redemption)),redemption,NP,"(NP
  (NP (ADVP (RB at) (RBS least)) (DT the) (NN look))
  (PP (IN of) (NP (NN redemption))))",at least the look of redemption,NP,(CC or),or,once america could no longer deny its guilt it went after redemption or at least the look of redemption and did so with a vengeance,X,X,X,True,True,False,False,0.9966323971748352,0.9942806959152222,0.9905217885971069
"(VP
  (VP
    (VBD went)
    (PP
      (IN after)
      (NP
        (NP (NN redemption))
        (CC or)
        (NP
          (NP (ADVP (RB at) (RBS least)) (DT the) (NN look))
          (PP (IN of) (NP (NN redemption)))))))
  (CC and)
  (VP
    (VBD did)
    (ADVP (RB so))
    (PP (IN with) (NP (DT a) (NN vengeance)))))",went after redemption or at least the look of redemption and did so with a vengeance,VP,"(VP
  (VBD went)
  (PP
    (IN after)
    (NP
      (NP (NN redemption))
      (CC or)
      (NP
        (NP (ADVP (RB at) (RBS least)) (DT the) (NN look))
        (PP (IN of) (NP (NN redemption)))))))",went after redemption or at least the look of redemption,VP,"(VP
  (VBD did)
  (ADVP (RB so))
  (PP (IN with) (NP (DT a) (NN vengeance))))",did so with a vengeance,VP,(CC and),and,once america could no longer deny its guilt it went after redemption or at least the look of redemption and did so with a vengeance,X,X,X,True,True,False,False,0.9397881031036377,0.9942806959152222,0.9654000401496887
(NP (NN housing) (CC and) (NN education)),housing and education,NP,(NN housing),housing,NN,(NN education),education,NN,(CC and),and,a national research council study notes the status of blacks relative to whites -LRB- in housing and education -RRB- has stagnated or regressed since the early seventies,X,N,N,True,True,False,False,0.9918949007987976,-0.8586019277572632,0.9942481517791748
"(VP
  (VBN stagnated)
  (CC or)
  (VBN regressed)
  (PP (IN since) (NP (DT the) (JJ early) (NNS seventies))))",stagnated or regressed since the early seventies,VP,(VBN stagnated),stagnated,VBN,(VBN regressed),regressed,VBN,(CC or),or,a national research council study notes the status of blacks relative to whites -LRB- in housing and education -RRB- has stagnated or regressed since the early seventies,X,V,V,True,True,False,False,-0.9990988969802856,-0.8586019277572632,-0.9920694828033447
(NP (NP (NN society)) (CC and) (NP (PRP$ its) (NNS institutions))),society and its institutions,NP,(NP (NN society)),society,NP,(NP (PRP$ its) (NNS institutions)),its institutions,NP,(CC and),and,i think the white need for redemption has contributed to this tragic situation by shaping our policies regarding blacks in ways that may deliver the look of innocence to society and its institutions but that do very little actually to uplift blacks,X,X,X,True,True,False,False,0.9729816317558289,-0.9893999695777893,0.9985380172729492
"(SBAR
  (SBAR
    (WHNP (WDT that))
    (S
      (VP
        (MD may)
        (VP
          (VB deliver)
          (NP
            (NP (DT the) (NN look))
            (PP (IN of) (NP (NN innocence))))
          (PP
            (IN to)
            (NP
              (NP (NN society))
              (CC and)
              (NP (PRP$ its) (NNS institutions))))))))
  (CC but)
  (SBAR
    (WHNP (WDT that))
    (S
      (VP
        (VBP do)
        (NP (RB very) (JJ little))
        (ADVP (RB actually))
        (S (VP (TO to) (VP (VB uplift) (NP (NNS blacks)))))))))",that may deliver the look of innocence to society and its institutions but that do very little actually to uplift blacks,SBAR,"(SBAR
  (WHNP (WDT that))
  (S
    (VP
      (MD may)
      (VP
        (VB deliver)
        (NP (NP (DT the) (NN look)) (PP (IN of) (NP (NN innocence))))
        (PP
          (IN to)
          (NP
            (NP (NN society))
            (CC and)
            (NP (PRP$ its) (NNS institutions))))))))",that may deliver the look of innocence to society and its institutions,SBAR,"(SBAR
  (WHNP (WDT that))
  (S
    (VP
      (VBP do)
      (NP (RB very) (JJ little))
      (ADVP (RB actually))
      (S (VP (TO to) (VP (VB uplift) (NP (NNS blacks))))))))",that do very little actually to uplift blacks,SBAR,(CC but),but,i think the white need for redemption has contributed to this tragic situation by shaping our policies regarding blacks in ways that may deliver the look of innocence to society and its institutions but that do very little actually to uplift blacks,S,S,S,True,True,True,False,0.9992904663085938,-0.9893999695777893,-0.9996891021728516
"(ADJP
  (ADJP (RB much) (JJR harder))
  (CC and)
  (ADJP (RBR more) (JJ mundane)))",much harder and more mundane,ADJP,(ADJP (RB much) (JJR harder)),much harder,ADJP,(ADJP (RBR more) (JJ mundane)),more mundane,ADJP,(CC and),and,the specific effect of this hidden need has been to bend social policy more toward reparation for black oppression than toward the much harder and more mundane work of black uplift and development,X,X,X,True,True,False,False,-0.9133251905441284,0.8787607550621033,-0.996362030506134
(NP (JJ black) (NN uplift) (CC and) (NN development)),black uplift and development,NP,(NN uplift),uplift,NN,(NN development),development,NN,(CC and),and,the specific effect of this hidden need has been to bend social policy more toward reparation for black oppression than toward the much harder and more mundane work of black uplift and development,X,N,N,True,True,False,False,0.9986321330070496,0.8787607550621033,0.9951240420341492
"(PP
  (DT both)
  (PP (IN on) (NP (NNS entitlements)))
  (CC and)
  (PP
    (IN on)
    (NP
      (NP (DT the) (JJ white) (NN guilt))
      (SBAR
        (WHNP (WDT that))
        (S (VP (VBZ generates) (NP (PRP them))))))))",both on entitlements and on the white guilt that generates them,PP,(PP (IN on) (NP (NNS entitlements))),on entitlements,PP,"(PP
  (IN on)
  (NP
    (NP (DT the) (JJ white) (NN guilt))
    (SBAR (WHNP (WDT that)) (S (VP (VBZ generates) (NP (PRP them)))))))",on the white guilt that generates them,PP,(CC and),and,one of the effects of entitlements i believe has been to encourage in blacks a dependency both on entitlements and on the white guilt that generates them,X,X,X,True,True,False,False,0.8796653151512146,0.5729297399520874,-0.9530102610588074
"(VP
  (VP
    (VB stop)
    (NP (DT a) (JJ white) (NN businessman))
    (PP
      (IN in)
      (NP
        (NP (NP (DT the) (NNS men) (POS 's)) (NN room))
        (PP (IN of) (NP (DT a) (JJ large) (NN hotel))))))
  (CC and)
  (VP
    (VB convince)
    (NP (PRP him))
    (S
      (VP
        (TO to)
        (VP
          (VB increase)
          (NP (PRP$ his) (NN tip))
          (PP (IN to) (NP (DT the) (JJ black) (NN attendant)))
          (PP
            (PP (IN from) (NP (CD one)))
            (PP (IN to) (NP (CD twenty) (NNS dollars)))))))))",stop a white businessman in the men 's room of a large hotel and convince him to increase his tip to the black attendant from one to twenty dollars,VP,"(VP
  (VB stop)
  (NP (DT a) (JJ white) (NN businessman))
  (PP
    (IN in)
    (NP
      (NP (NP (DT the) (NNS men) (POS 's)) (NN room))
      (PP (IN of) (NP (DT a) (JJ large) (NN hotel))))))",stop a white businessman in the men 's room of a large hotel,VP,"(VP
  (VB convince)
  (NP (PRP him))
  (S
    (VP
      (TO to)
      (VP
        (VB increase)
        (NP (PRP$ his) (NN tip))
        (PP (IN to) (NP (DT the) (JJ black) (NN attendant)))
        (PP
          (PP (IN from) (NP (CD one)))
          (PP (IN to) (NP (CD twenty) (NNS dollars))))))))",convince him to increase his tip to the black attendant from one to twenty dollars,VP,(CC and),and,once i watched him stop a white businessman in the men 's room of a large hotel and convince him to increase his tip to the black attendant from one to twenty dollars,X,X,X,True,True,False,False,-0.8498055934906006,-0.7489534616470337,-0.8227899670600891
"(VP
  (VP
    (VB make)
    (NP (DT this) (NN point))
    (PP (IN to) (NP (DT the) (NN businessman))))
  (CC and)
  (VP
    (TO to)
    (VP
      (VB say)
      (SBAR
        (IN that)
        (S
          (NP (DT no) (JJ white) (NN man))
          (VP
            (MD would)
            (VP (VB do) (PP (IN in) (NP (DT this) (NN job))))))))))",make this point to the businessman and to say that no white man would do in this job,VP,"(VP
  (VB make)
  (NP (DT this) (NN point))
  (PP (IN to) (NP (DT the) (NN businessman))))",make this point to the businessman,VP,"(VP
  (TO to)
  (VP
    (VB say)
    (SBAR
      (IN that)
      (S
        (NP (DT no) (JJ white) (NN man))
        (VP
          (MD would)
          (VP (VB do) (PP (IN in) (NP (DT this) (NN job)))))))))",to say that no white man would do in this job,VP,(CC and),and,my friend was quick to make this point to the businessman and to say that no white man would do in this job,X,X,X,True,True,False,False,0.8893498778343201,-0.9977840781211853,-0.9749905467033386
"(S
  (S
    (NP (DT this))
    (VP
      (VBD stopped)
      (S (NP (DT the) (NN victim)) (S (ADJP (JJ cold))))))
  (CC and)
  (S (NP (PRP$ his) (NNS eyes)) (VP (VBD turned) (ADVP (JJ inward)))))",this stopped the victim cold and his eyes turned inward,S,"(S
  (NP (DT this))
  (VP
    (VBD stopped)
    (S (NP (DT the) (NN victim)) (S (ADJP (JJ cold))))))",this stopped the victim cold,S,(S (NP (PRP$ his) (NNS eyes)) (VP (VBD turned) (ADVP (JJ inward)))),his eyes turned inward,S,(CC and),and,this stopped the victim cold and his eyes turned inward,S,S,S,True,True,True,False,0.8792011141777039,-0.9976498484611511,-0.999170184135437
"(VP
  (VP
    (VBD worked)
    (NP (NNS nights))
    (PP (IN in) (NP (DT a) (NN factory))))
  (CC and)
  (VP
    (VBD demanded)
    (SBAR
      (IN that)
      (S
        (NP (DT the) (NN house))
        (VP
          (VB be)
          (ADJP (JJ dark) (CC and) (JJ silent))
          (NP (DT all) (NN day)))))))",worked nights in a factory and demanded that the house be dark and silent all day,VP,"(VP
  (VBD worked)
  (NP (NNS nights))
  (PP (IN in) (NP (DT a) (NN factory))))",worked nights in a factory,VP,"(VP
  (VBD demanded)
  (SBAR
    (IN that)
    (S
      (NP (DT the) (NN house))
      (VP
        (VB be)
        (ADJP (JJ dark) (CC and) (JJ silent))
        (NP (DT all) (NN day))))))",demanded that the house be dark and silent all day,VP,(CC and),and,i knew he did not get along with his father a bitter man who worked nights in a factory and demanded that the house be dark and silent all day,X,X,X,True,True,False,False,-0.8983528017997742,-0.9992738366127014,-0.9579984545707703
(ADJP (JJ dark) (CC and) (JJ silent)),dark and silent,ADJP,(JJ dark),dark,JJ,(JJ silent),silent,JJ,(CC and),and,i knew he did not get along with his father a bitter man who worked nights in a factory and demanded that the house be dark and silent all day,X,J,J,True,True,False,False,0.54344242811203,-0.9992738366127014,-0.6960936784744263
